"aou","stateroute","nObs","abundTrend","trendInt","trendPval","obsTrend","obsPval"
6810,11001,13,0.0119193309394721,-22.3169156688342,0.58870945692787,-0.67389100963059,0.0982990813963821
5290,11001,12,0.0367680810898168,-71.0572299474466,0.00275064393047344,0.0171182700566075,0.938672975478171
4860,11001,13,0.0139498976674902,-25.4908858059166,0.284372822035398,0.0478005425237545,0.806631558807882
3930,11001,10,-0.0124678518969953,25.5276999936269,0.765740157005095,-0.0890787826473187,0.866393972470081
4950,11001,12,-0.035568149777094,73.2851385242676,0.101928369315008,-0.724807664038821,0.0155382135469121
4050,11001,11,-0.0577597542825778,115.891756482862,0.284793900384186,0.250718628125533,0.629392357537606
4930,11001,13,-0.0607043062476036,124.867275014876,2.81483700028212e-11,-0.234482608430191,0.0522417284321151
7610,11001,13,-0.0340499978996443,72.86874245784,4.84529025582873e-15,0.00957653676647992,0.87129802125287
6870,11003,13,-0.0632619824814994,127.760609487181,0.142814249593098,NA,NA
6810,11003,12,-0.0209697862538012,42.8746285357581,0.674587580590458,NA,NA
7610,11003,13,-0.00413917806006536,10.960625176578,0.826375409503066,NA,NA
6750,11003,13,-0.00217235945912909,7.63758128382178,0.875430801126193,NA,NA
7350,11003,11,-0.0508180433465497,102.652175694424,0.288545320330046,NA,NA
4860,11003,10,-0.0343800235371229,69.6547089242763,0.635956646746796,NA,NA
6870,11005,14,-0.031260411965613,63.3581679347328,0.280613184026798,NA,NA
6240,11005,17,-0.0516119754988329,105.119472049633,0.000722555322926473,NA,NA
4860,11005,17,-0.0161126185856092,34.7360069641851,0.153929061193022,NA,NA
6190,11005,13,-3.5760686074086e-05,1.66545232642119,0.998676631296206,NA,NA
4950,11005,17,-0.0645327748561411,131.038457322099,1.0832000445484e-05,NA,NA
7040,11005,14,0.0289151192977808,-57.2828028072451,0.386416970558267,NA,NA
7350,11005,17,-0.00595203755668317,14.2466393236898,0.629207454220478,NA,NA
7610,11005,17,-0.0163001423420307,36.3714538375342,0.00675053435297051,NA,NA
4880,11007,19,0.0111307706940703,-19.406397321245,0.213851021990885,NA,NA
4950,11007,17,-0.0247095725310172,50.7020476715428,0.25263799906803,NA,NA
7560,11007,12,-0.129519455780315,259.761102087573,0.00128459979519053,NA,NA
4860,11007,19,0.0200073843304001,-36.8559151393039,0.00913010161257095,NA,NA
6240,11007,19,-0.0508577320118807,104.462325968069,1.48342242190534e-07,NA,NA
3160,11007,13,-0.0149588263233146,30.8739962937397,0.558631623234346,NA,NA
4930,11007,14,-0.0101260426716223,21.9899302766369,0.552829839829668,NA,NA
6870,11007,15,-0.0381403230828674,76.7808363012417,0.253391169657687,NA,NA
3930,11007,10,0.0214291975133204,-42.4593441537917,0.570442676211167,NA,NA
7610,11007,19,-0.012112396952255,27.9854134158862,0.0347858071059995,NA,NA
7350,11007,19,-0.027899098553759,57.4298459100129,0.0955790200942085,NA,NA
