"stateroute","env","climateTrend","trendPval"
44410,"tmax",0.00392353994505761,0.822236217730955
34029,"tmax",0.0313853660184732,0.271245525008394
89142,"tmax",-0.0140629878459527,0.502648179163505
69409,"tmax",-0.0456090265812008,0.168732206885043
64115,"tmax",0.00367132102176828,0.900549420262022
81704,"tmax",0.0530104024446923,0.20778736515565
81705,"tmax",0.0395023835069798,0.240135051495351
81706,"tmax",0.0352244854813956,0.271419068631584
34039,"tmax",0.0407262254605508,0.133364105213248
34045,"tmax",0.0215673453467238,0.458715980999414
34002,"tmax",0.046783950005048,0.135904873561921
34003,"tmax",0.0379523990039968,0.221664042562602
34006,"tmax",0.0255925655636696,0.445742215512014
34007,"tmax",0.0395207460109998,0.158179539034484
34008,"tmax",0.0364933528157493,0.194817067340054
34009,"tmax",0.0143709336557701,0.607637760541488
34012,"tmax",0.0225079219452219,0.443257773760532
34013,"tmax",0.0425099705789388,0.140316326840235
34015,"tmax",0.0266890597184933,0.352501912471728
34016,"tmax",0.0208041924533686,0.467825745653873
34017,"tmax",0.0183635507712219,0.531628801765167
34019,"tmax",0.0382701507796594,0.158845349072516
34020,"tmax",0.0438401387369534,0.111010866686844
34021,"tmax",0.0283704019378832,0.286750093441999
34022,"tmax",0.0377237553823559,0.16218024803869
34023,"tmax",0.0302411559911866,0.262959957459894
34024,"tmax",0.02440254667303,0.350702802259689
34026,"tmax",0.0379491369429733,0.183895240142401
34027,"tmax",0.0136936847002068,0.616043192101291
34028,"tmax",0.0209706896343641,0.436022342785451
34030,"tmax",0.0172816298558159,0.54797459652477
34031,"tmax",0.0376909892462979,0.213714436343159
34032,"tmax",0.0398093904044952,0.162307060937475
34033,"tmax",0.0284170398759484,0.327707656874878
34034,"tmax",0.0351346895853674,0.228624910994769
34036,"tmax",0.0319941376098166,0.231887686984776
34037,"tmax",0.0296427235658155,0.26077518410021
34040,"tmax",0.0201520636534077,0.472268158004225
34041,"tmax",0.0207083321636575,0.489513689139889
34042,"tmax",0.0218314444363773,0.457140421151432
34043,"tmax",0.0143162328016602,0.627102975831042
34046,"tmax",0.0309208790111873,0.307427511692324
34048,"tmax",0.0356971331720457,0.245374395540606
34049,"tmax",0.0529294750702698,0.0677200888013945
34050,"tmax",0.0385441844059872,0.183640305265425
34052,"tmax",0.0404035186767568,0.15528549914204
34053,"tmax",0.0276017177118235,0.33877607070035
34055,"tmax",0.0287890504860433,0.335874286860907
34056,"tmax",0.0302821053792491,0.334199459129056
34057,"tmax",0.0254536218692097,0.405916590167708
34064,"tmax",0.0375882242932731,0.224393028658122
34066,"tmax",0.0189499730420823,0.554081003525584
34067,"tmax",0.0358221977010307,0.176896988383653
34068,"tmax",0.0287341755213764,0.326331883608063
34069,"tmax",0.0268203679458554,0.360561952197316
34071,"tmax",0.0288233226873942,0.279374010857893
34072,"tmax",0.0156219337006909,0.556532822858953
34073,"tmax",0.0109969418564094,0.693376943861554
34074,"tmax",0.0367064721485583,0.175667942691628
34075,"tmax",0.0160909273432588,0.568723923421068
34076,"tmax",0.033771283529197,0.27227966678491
34135,"tmax",0.0515237953186028,0.0699153331749322
34307,"tmax",0.0419161548893963,0.126353913346631
35002,"tmax",0.0181328012245514,0.536637226277844
35011,"tmax",0.0296606874676752,0.328305688065976
35013,"tmax",0.0564437807523287,0.0739349983233416
35014,"tmax",0.0357116237868601,0.238507262013651
35028,"tmax",0.0674992879796076,0.0301906129491622
35115,"tmax",0.0623555203537499,0.0461786636477551
35301,"tmax",0.0179232118720682,0.540156234267841
36004,"tmax",0.0431209157936742,0.168417047583989
36033,"tmax",0.0709021874394712,0.0419745867655719
38013,"tmax",0.0479165123482435,0.113097176677358
38016,"tmax",0.0595411482395283,0.0820748246215064
38317,"tmax",0.0216120727449398,0.444866022986241
49057,"tmax",0.0414685697025714,0.175019300986825
50006,"tmax",0.0333549621777668,0.291927592360282
52032,"tmax",0.0423044580279155,0.140278228207866
52126,"tmax",0.0323843703543584,0.244373508675271
52136,"tmax",0.039470537686959,0.172280810072522
66001,"tmax",0.0462452024476138,0.170684022892103
66024,"tmax",0.0526310079337581,0.0993316305406519
66025,"tmax",0.0566116611049601,0.086707906218177
66035,"tmax",0.0231085732680109,0.4040369482979
66113,"tmax",0.0727220502615854,0.0202072840049967
67024,"tmax",0.0302833795139927,0.367349623515505
35029,"tmax",0.0685578809587185,0.0275961146682378
27019,"tmax",0.0458498799213045,0.188739182039878
27304,"tmax",-0.00295916670018985,0.861638017607861
27305,"tmax",0.0154753392003909,0.557982760638483
27307,"tmax",0.019072844598231,0.470733279577623
27309,"tmax",0.0232290682474767,0.484113437234203
27310,"tmax",0.0282039962059406,0.382146604823838
27312,"tmax",0.0247312423329304,0.338058676078814
27316,"tmax",0.0352543412232995,0.228373998152397
27318,"tmax",0.0201433606581264,0.506174377837844
27320,"tmax",0.0422596210620081,0.200476616222556
